array_index,case_id,study_family,group_dir,physical_case,mesh_name,Nx,Ny,velocity_m_per_s,stiffness_class,A,beta,Ta,threads,core_label,status,run_dir,launcher_wall_seconds,exit_code,summary_case_id,solver,summary_threads,summary_Nx,summary_Ny,cells,level0_Nx,level0_Ny,rmt_smoothing_sweeps,rmt_max_cycles,final_time_s,time_steps,vFuel_m_per_s,vOx_m_per_s,summary_A,summary_beta,Ta_K,HfF_J_per_kg,rho_kg_per_m3,mu_Pa_s,cp_J_per_kgK,Pr,Sc,compute_time_s,pressure_time_s,pressure_fraction_pct,output_time_s,total_wall_s,pressure_solves,total_rmt_cycles,avg_rmt_cycles_per_pressure_solve,max_rmt_cycles_per_pressure_solve,mean_pressure_convergence_factor,final_pressure_cycles,final_pressure_rhs_norm,final_pressure_initial_residual,final_pressure_abs_residual,final_pressure_rel_residual,final_pressure_convergence_factor,equivalent_fine_grid_smoothing_sweeps,equivalent_fine_grid_smoothing_sweeps_per_pressure_solve,mass_residual_max,mass_residual_l2,mass_residual_integral,Tmin_K,Tmax_K,pmin_Pa,pmax_Pa,umin_m_per_s,umax_m_per_s,vmin_m_per_s,vmax_m_per_s,YFmax,YOmax,YPmax,YN2max,diag_levelsX,diag_levelsY,diag_direct_solves,diag_direct_unknowns,diag_lu_factorizations,diag_nonmonotone_cycles,diag_last_cycle_ratio,diag_max_cycle_ratio,diag_point_updates
0,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C1,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,1,C1,complete,results/FLOW/BC1_LOW_v005/M1_108x36/C1,84.912951552,0,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C1,RMT_FINALVOL2,1,108,36,3888,108,36,16,500,2,20033,0.050000000000000003,-0.050000000000000003,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,84.746312302999854,6.1524382950000511,7.2598301068284554,0.065861477000000002,84.814926416000006,20033,5873,0.29316627564518544,3,0.15445181584782466,2,176409.73717962604,13808.226307143719,2.2539560116879329,1.2776823137562315e-05,0.012776260844783534,281904,14.071981230968902,0.00020322264748529051,2.6254376552012762e-05,-5.3413325930933587e-10,294.95449063572789,915.08413604988846,99999.99795949999,100000.00232437062,-0.015431646339169597,0.015431646296808103,-0.045263969203814966,0.045263969203001533,0.99597340936149847,0.2089378338607342,0.31683553212781435,0.83491285177248864,3,2,1427139,22834224,243,0,0.015504882317325577,0.17511649349014033,1096042752
1,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C2,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,2,C2,complete,results/FLOW/BC1_LOW_v005/M1_108x36/C2,49.487149056,0,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C2,RMT_FINALVOL2,2,108,36,3888,108,36,16,500,2,20033,0.050000000000000003,-0.050000000000000003,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,49.319546030999923,5.822695020999979,11.806059644872054,0.06550773800000001,49.388043764999999,20033,5873,0.29316627564518544,3,0.15445181584782466,2,176409.73717962604,13808.226307143719,2.2539560116879329,1.2776823137562315e-05,0.012776260844783534,281904,14.071981230968902,0.00020322264748529051,2.6254376552012705e-05,-5.3413325930933391e-10,294.95449063572789,915.08413604988846,99999.99795949999,100000.00232437062,-0.015431646339169597,0.015431646296808103,-0.045263969203814966,0.045263969203001533,0.99597340936149847,0.2089378338607342,0.31683553212781435,0.83491285177248864,3,2,1427139,22834224,243,0,0.015504882317325577,0.17511649349014033,1096042752
2,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C4,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,4,C4,complete,results/FLOW/BC1_LOW_v005/M1_108x36/C4,31.825310208,0,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C4,RMT_FINALVOL2,4,108,36,3888,108,36,16,500,2,20033,0.050000000000000003,-0.050000000000000003,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,31.650420429999773,5.6527538610000487,17.859964525596318,0.066566100000000003,31.719750734000002,20033,5873,0.29316627564518544,3,0.15445181584782466,2,176409.73717962604,13808.226307143719,2.2539560116879329,1.2776823137562315e-05,0.012776260844783534,281904,14.071981230968902,0.00020322264748529051,2.6254376552012701e-05,-5.3413325930933484e-10,294.95449063572789,915.08413604988846,99999.99795949999,100000.00232437062,-0.015431646339169597,0.015431646296808103,-0.045263969203814966,0.045263969203001533,0.99597340936149847,0.2089378338607342,0.31683553212781435,0.83491285177248864,3,2,1427139,22834224,243,0,0.015504882317325577,0.17511649349014033,1096042752
3,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C16,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,16,C16,complete,results/FLOW/BC1_LOW_v005/M1_108x36/C16,23.869454080,0,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C16,RMT_FINALVOL2,16,108,36,3888,108,36,16,500,2,20033,0.050000000000000003,-0.050000000000000003,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,23.588938367000072,5.6582307730000023,23.986797052789914,0.065654981000000001,23.658849060000001,20033,5873,0.29316627564518544,3,0.15445181584782466,2,176409.73717962604,13808.226307143719,2.2539560116879329,1.2776823137562315e-05,0.012776260844783534,281904,14.071981230968902,0.00020322264748529051,2.6254376552012725e-05,-5.3413325930933473e-10,294.95449063572789,915.08413604988846,99999.99795949999,100000.00232437062,-0.015431646339169597,0.015431646296808103,-0.045263969203814966,0.045263969203001533,0.99597340936149847,0.2089378338607342,0.31683553212781435,0.83491285177248864,3,2,1427139,22834224,243,0,0.015504882317325577,0.17511649349014033,1096042752
4,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C1,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,1,C1,complete,results/FLOW/BC1_LOW_v005/M2_216x72/C1,393.746173696,0,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C1,RMT_FINALVOL2,1,216,72,15552,216,72,16,500,2,20033,0.050000000000000003,-0.050000000000000003,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,393.50318537399926,41.471841689999728,10.539137478794087,0.16427506600000003,393.67172302500001,20033,8231,0.41087206109918634,3,0.1910184012147714,2,573553.07914430555,30681.301696433686,7.7410710565641239,1.3496695141299165e-05,0.015884137445628596,526784,26.295811910347926,0.0007153324413686768,6.2074574426395612e-05,-6.2098531006724794e-11,293.82296258762813,929.84614945624139,99999.997557531431,100000.00230747118,-0.014137298521083811,0.014137305715018906,-0.050531710658793999,0.050531704029931172,0.99839393378780805,0.20957458215505712,0.32358415469486296,0.83394794200824651,4,3,18001197,128008512,2187,0,0.020845787271935274,0.20598857949068969,8192544768
5,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C2,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,2,C2,complete,results/FLOW/BC1_LOW_v005/M2_216x72/C2,209.134213632,0,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C2,RMT_FINALVOL2,2,216,72,15552,216,72,16,500,2,20033,0.050000000000000003,-0.050000000000000003,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,208.88769908800015,23.316846208000015,11.162383572513335,0.16390643599999999,209.05488703099999,20033,8231,0.41087206109918634,3,0.1910184012147714,2,573553.07914430555,30681.301696433686,7.7410710565641239,1.3496695141299165e-05,0.015884137445628596,526784,26.295811910347926,0.0007153324413686768,6.2074574426395707e-05,-6.2098531006725504e-11,293.82296258762813,929.84614945624139,99999.997557531431,100000.00230747118,-0.014137298521083811,0.014137305715018906,-0.050531710658793999,0.050531704029931172,0.99839393378780805,0.20957458215505712,0.32358415469486296,0.83394794200824651,4,3,18001197,128008512,2187,0,0.020845787271935274,0.20598857949068969,8192544768
6,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C4,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,4,C4,complete,results/FLOW/BC1_LOW_v005/M2_216x72/C4,115.890706688,0,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C4,RMT_FINALVOL2,4,216,72,15552,216,72,16,500,2,20033,0.050000000000000003,-0.050000000000000003,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,115.64582708700017,14.67314847400003,12.688005130493332,0.165454983,115.814396113,20033,8231,0.41087206109918634,3,0.1910184012147714,2,573553.07914430555,30681.301696433686,7.7410710565641239,1.3496695141299165e-05,0.015884137445628596,526784,26.295811910347926,0.0007153324413686768,6.2074574426395707e-05,-6.2098531006725362e-11,293.82296258762813,929.84614945624139,99999.997557531431,100000.00230747118,-0.014137298521083811,0.014137305715018906,-0.050531710658793999,0.050531704029931172,0.99839393378780805,0.20957458215505712,0.32358415469486296,0.83394794200824651,4,3,18001197,128008512,2187,0,0.020845787271935274,0.20598857949068969,8192544768
7,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C16,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,16,C16,complete,results/FLOW/BC1_LOW_v005/M2_216x72/C16,50.194405120,0,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C16,RMT_FINALVOL2,16,216,72,15552,216,72,16,500,2,20033,0.050000000000000003,-0.050000000000000003,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,49.961357567999812,9.1322755740000581,18.278677799278356,0.164526537,50.129943118,20033,8231,0.41087206109918634,3,0.1910184012147714,2,573553.07914430555,30681.301696433686,7.7410710565641239,1.3496695141299165e-05,0.015884137445628596,526784,26.295811910347926,0.0007153324413686768,6.2074574426395721e-05,-6.2098531006724974e-11,293.82296258762813,929.84614945624139,99999.997557531431,100000.00230747118,-0.014137298521083811,0.014137305715018906,-0.050531710658793999,0.050531704029931172,0.99839393378780805,0.20957458215505712,0.32358415469486296,0.83394794200824651,4,3,18001197,128008512,2187,0,0.020845787271935274,0.20598857949068969,8192544768
8,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C1,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M3_432x144,432,144,0.05,nominal_chemistry,10000000,5,1000,1,C1,complete,results/FLOW/BC1_LOW_v005/M3_432x144/C1,3865.226516224,0,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C1,RMT_FINALVOL2,1,432,144,62208,432,144,16,500,2,48534,0.050000000000000003,-0.050000000000000003,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,3864.5075449579581,460.22852978300506,11.909111948389581,0.60312775800000007,3865.1396006569998,48534,19052,0.39254955289075699,4,0.20726177676908644,3,7612133.1560912021,4546433.2321027704,84.296407862908382,1.1073953402333049e-05,0.026467489549805333,1524160,31.403964231260559,0.0010650651318186988,5.4713377451182942e-05,-6.9406682050338306e-13,293.3893758024285,930.71465762446292,99999.9923938305,100000.00654371135,-0.014314497651339006,0.014314493921219076,-0.050819397695540447,0.05081952801530739,0.99924896676759278,0.20980135523826138,0.32406941939199929,0.83351737277778337,5,4,375000516,1185186816,19683,0,0.056491815041036113,0.23540812506393488,94814945280
9,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C2,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M3_432x144,432,144,0.05,nominal_chemistry,10000000,5,1000,2,C2,complete,results/FLOW/BC1_LOW_v005/M3_432x144/C2,2005.151680768,0,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C2,RMT_FINALVOL2,2,432,144,62208,432,144,16,500,2,48534,0.050000000000000003,-0.050000000000000003,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,2004.4675318239829,255.85857927200274,12.764416245704014,0.58753317699999996,2005.0713234049999,48534,19052,0.39254955289075699,4,0.20726177676908644,3,7612133.1560912021,4546433.2321027704,84.296407862908382,1.1073953402333049e-05,0.026467489549805333,1524160,31.403964231260559,0.0010650651318186988,5.4713377451182529e-05,-6.9406682050337457e-13,293.3893758024285,930.71465762446292,99999.9923938305,100000.00654371135,-0.014314497651339006,0.014314493921219076,-0.050819397695540447,0.05081952801530739,0.99924896676759278,0.20980135523826138,0.32406941939199929,0.83351737277778337,5,4,375000516,1185186816,19683,0,0.056491815041036113,0.23540812506393488,94814945280
