array_index,case_id,study_family,group_dir,physical_case,mesh_name,Nx,Ny,velocity_m_per_s,stiffness_class,A,beta,Ta,threads,core_label
0,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C1,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,1,C1
1,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C2,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,2,C2
2,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C4,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,4,C4
3,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C16,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,16,C16
4,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C1,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,1,C1
5,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C2,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,2,C2
6,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C4,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,4,C4
7,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C16,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,16,C16
8,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C1,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M3_432x144,432,144,0.05,nominal_chemistry,10000000,5,1000,1,C1
9,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C2,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M3_432x144,432,144,0.05,nominal_chemistry,10000000,5,1000,2,C2
10,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C4,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M3_432x144,432,144,0.05,nominal_chemistry,10000000,5,1000,4,C4
11,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C16,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M3_432x144,432,144,0.05,nominal_chemistry,10000000,5,1000,16,C16
12,FLOW_INTENSITY__BC1_LOW_v005__M4_864x288__C1,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M4_864x288,864,288,0.05,nominal_chemistry,10000000,5,1000,1,C1
13,FLOW_INTENSITY__BC1_LOW_v005__M4_864x288__C2,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M4_864x288,864,288,0.05,nominal_chemistry,10000000,5,1000,2,C2
14,FLOW_INTENSITY__BC1_LOW_v005__M4_864x288__C4,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M4_864x288,864,288,0.05,nominal_chemistry,10000000,5,1000,4,C4
15,FLOW_INTENSITY__BC1_LOW_v005__M4_864x288__C16,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M4_864x288,864,288,0.05,nominal_chemistry,10000000,5,1000,16,C16
16,FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C1,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M1_108x36,108,36,0.1,nominal_chemistry,10000000,5,1000,1,C1
17,FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C2,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M1_108x36,108,36,0.1,nominal_chemistry,10000000,5,1000,2,C2
18,FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C4,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M1_108x36,108,36,0.1,nominal_chemistry,10000000,5,1000,4,C4
19,FLOW_INTENSITY__BC2_NOMINAL_v010__M1_108x36__C16,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M1_108x36,108,36,0.1,nominal_chemistry,10000000,5,1000,16,C16
20,FLOW_INTENSITY__BC2_NOMINAL_v010__M2_216x72__C1,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M2_216x72,216,72,0.1,nominal_chemistry,10000000,5,1000,1,C1
21,FLOW_INTENSITY__BC2_NOMINAL_v010__M2_216x72__C2,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M2_216x72,216,72,0.1,nominal_chemistry,10000000,5,1000,2,C2
22,FLOW_INTENSITY__BC2_NOMINAL_v010__M2_216x72__C4,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M2_216x72,216,72,0.1,nominal_chemistry,10000000,5,1000,4,C4
23,FLOW_INTENSITY__BC2_NOMINAL_v010__M2_216x72__C16,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M2_216x72,216,72,0.1,nominal_chemistry,10000000,5,1000,16,C16
24,FLOW_INTENSITY__BC2_NOMINAL_v010__M3_432x144__C1,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M3_432x144,432,144,0.1,nominal_chemistry,10000000,5,1000,1,C1
25,FLOW_INTENSITY__BC2_NOMINAL_v010__M3_432x144__C2,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M3_432x144,432,144,0.1,nominal_chemistry,10000000,5,1000,2,C2
26,FLOW_INTENSITY__BC2_NOMINAL_v010__M3_432x144__C4,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M3_432x144,432,144,0.1,nominal_chemistry,10000000,5,1000,4,C4
